gtip_pozisyon,aciklama,fasil
610332000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler ve blazerler / Pamuktan",61
610333000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler ve blazerler / Sentetik liflerden",61
610339000011,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler ve blazerler / Dokumaya elverişli diğer maddelerden / Suni liflerden ceketler",61
610339000012,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler ve blazerler / Dokumaya elverişli diğer maddelerden / Suni liflerden blazerler",61
610339000013,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler ve blazerler / Dokumaya elverişli diğer maddelerden / Dokumaya elverişli diğer maddelerden ceketler",61
610339000014,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler ve blazerler / Dokumaya elverişli diğer maddelerden / Dokumaya elverişli diğer maddelerden blazerler",61
610341000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Yünden veya ince hayvan kıllarından",61
610342000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Pamuktan",61
610343000000,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Sentetik liflerden",61
610349000011,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Pantolonlar ve kısa pantolonlar",61
610349000091,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Suni liflerden / Şortlar",61
610349000092,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Suni liflerden / Askılı ve üst ön parçası olan tulumlar",61
610349000093,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Diğerleri / Şortlar",61
610349000094,"Erkekler ve erkek çocuklar için takım elbiseler, takımlar, ceketler, blazerler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Diğerleri / Askılı ve üst ön parçası olan tulumlar",61
610413000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takım elbiseler / Sentetik liflerden",61
610419200000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takım elbiseler / Dokumaya elverişli diğer maddelerden / Pamuktan",61
610419900012,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takım elbiseler / Dokumaya elverişli diğer maddelerden / Diğerleri / Suni liflerden",61
610419900013,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takım elbiseler / Dokumaya elverişli diğer maddelerden / Diğerleri / Yünden veya ince hayvan kıllarından",61
610419900017,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takım elbiseler / Dokumaya elverişli diğer maddelerden / Diğerleri / Diğerleri",61
610422000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Pamuktan",61
610423000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Sentetik liflerden",61
610429100000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Dokumaya elverişli diğer maddelerden / Yünden veya ince hayvan kıllarından",61
610429900011,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Suni liflerden",61
610429900017,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Takımlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Diğerleri",61
610431000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler, blazerler / Yünden veya ince hayvan kıllarından",61
610432000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler, blazerler / Pamuktan",61
610433000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler, blazerler / Sentetik liflerden",61
610439000011,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler, blazerler / Dokumaya elverişli diğer maddelerden / İpek ve ipek döküntülerinden",61
610439000012,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler, blazerler / Dokumaya elverişli diğer maddelerden / Suni liflerden",61
610439000019,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Ceketler, blazerler / Dokumaya elverişli diğer maddelerden / Diğerleri",61
610441000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Yünden veya ince hayvan kıllarından",61
610442000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Pamuktan",61
610443000011,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Sentetik liflerden / Gelinlikler",61
610443000019,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Sentetik liflerden / Diğerleri",61
610444000011,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Suni liflerden / Gelinlikler",61
610444000019,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Suni liflerden / Diğerleri",61
610449000012,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Dokumaya elverişli diğer maddelerden / İpek ve ipek döküntülerinden / Gelinlikler",61
610449000018,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Dokumaya elverişli diğer maddelerden / İpek ve ipek döküntülerinden / Diğerleri",61
610449000019,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Elbiseler / Dokumaya elverişli diğer maddelerden / Diğerleri",61
610451000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Etekler ve pantolon etekler / Yünden veya ince hayvan kıllarından",61
610452000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Etekler ve pantolon etekler / Pamuktan",61
610453000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Etekler ve pantolon etekler / Sentetik liflerden",61
610459000011,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Etekler ve pantolon etekler / Dokumaya elverişli diğer maddelerden / Suni liflerden etekler",61
610459000012,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Etekler ve pantolon etekler / Dokumaya elverişli diğer maddelerden / Suni liflerden pantolon etekler",61
610459000013,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Etekler ve pantolon etekler / Dokumaya elverişli diğer maddelerden / Dokumaya elverişli diğer maddelerden etekler",61
610459000014,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Etekler ve pantolon etekler / Dokumaya elverişli diğer maddelerden / Dokumaya elverişli diğer maddelerden pantolon etekler",61
610461000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Yünden veya ince hayvan kıllarından",61
610462000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Pamuktan",61
610463000000,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Sentetik liflerden",61
610469000011,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Pantolonlar ve kısa pantolonlar",61
610469000091,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Suni liflerden / Şortlar",61
610469000092,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Suni liflerden / Askılı ve üst ön parçası olan tulumlar",61
610469000093,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Dokumaya elverişli diğer maddelerden / Şortlar",61
610469000094,"Kadınlar ve kız çocuklar için takım elbiseler, takımlar, ceketler, blazerler,elbiseler, etekler, pantoIon etekler, pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortIar (örme veya kroşe) (yüzme kıyafeti hariç) / Pantolonlar, askılı ve üst ön parçası olan tulumlar, kısa pantolonlar ve şortlar / Dokumaya elverişli diğer maddelerden / Diğerleri / Dokumaya elverişli diğer maddelerden / Askılı ve üst ön parçası olan tulumlar",61
610510000000,Erkekler ve erkek çocuklar için gömlekler (örme veya kroşe) / Pamuktan,61
610520100000,Erkekler ve erkek çocuklar için gömlekler (örme veya kroşe) / Sentetik veya suni liflerden / Sentetik liflerden,61
610520900000,Erkekler ve erkek çocuklar için gömlekler (örme veya kroşe) / Sentetik veya suni liflerden / Suni liflerden,61
610590100000,Erkekler ve erkek çocuklar için gömlekler (örme veya kroşe) / Dokumaya elverişli diğer maddelerden / Yünden veya ince hayvan kıllarından,61
610590900000,Erkekler ve erkek çocuklar için gömlekler (örme veya kroşe) / Dokumaya elverişli diğer maddelerden / Diğerleri,61
610610000000,"Kadınlar ve kız çocuklar için bluzlar, gömlekler, gömlek -bluzlar (örme veya kroşe) / Pamuktan",61
610620000000,"Kadınlar ve kız çocuklar için bluzlar, gömlekler, gömlek -bluzlar (örme veya kroşe) / Sentetik veya suni liflerden",61
610690100000,"Kadınlar ve kız çocuklar için bluzlar, gömlekler, gömlek -bluzlar (örme veya kroşe) / Dokumaya elverişli diğer maddelerden / Yünden veya ince hayvan kıllarından",61
610690300000,"Kadınlar ve kız çocuklar için bluzlar, gömlekler, gömlek -bluzlar (örme veya kroşe) / Dokumaya elverişli diğer maddelerden / İpek veya ipek döküntülerinden",61
610690500000,"Kadınlar ve kız çocuklar için bluzlar, gömlekler, gömlek -bluzlar (örme veya kroşe) / Dokumaya elverişli diğer maddelerden / Keten ve ramiden",61
